project,developer,type,in_projects_feed,has_transactions,offplan_tx,ready_tx,total_value_aed,top_area,master_project,project_status,percent_completed,escrow
Maybach Six,Binghatti Developers FZE,off-plan,Y,Y,782,0,1381920654,BUSINESS PARK,,ACTIVE,0,Y
DAMAC LAGOONS - VALENCIA,,off-plan,,Y,776,0,724819570,Al Hebiah Fifth,,,,
Hado By Beyond,,off-plan,,Y,608,0,2393349460,Palm Deira,,,,
AZIZI VENICE 14,,off-plan,,Y,607,0,496803649,Madinat Al Mataar,,,,
Creek Bay,DUBAI CREEK HARBOUR L.L.C,off-plan,Y,Y,561,0,1777765602,Al Khairan First,,ACTIVE,0,Y
Binghatti Vintage,,off-plan,,Y,560,0,428673454,MAJAN,,,,
Sobha Central,SOBHA L.L.C,off-plan,Y,Y,455,0,1275858510,Jabal Ali First,,ACTIVE,0,Y
Binghatti Skyflame 1,Binghatti Developers FZE,off-plan,Y,Y,453,0,327106210,MAJAN,,ACTIVE,0,Y
Shahrukhz by Danube,DANUBE PROPERTIES DEVELOPMENT L.L.C,off-plan,Y,Y,444,0,1362430235,TECOM SITE A,,ACTIVE,1.22,Y
SIERRA BY IMAN,,off-plan,,Y,435,0,620801875,MOTOR CITY,,,,
DAMAC ISLANDS 2 - BAHAMAS 2,DAMAC PRIME DEVELOPMENT L.L.C,off-plan,Y,Y,424,0,1331839085,Al Yelayiss 1,,ACTIVE,0.33,Y
Creek Haven,DUBAI CREEK HARBOUR L.L.C,off-plan,Y,Y,421,0,1149234620,Al Khairan First,,ACTIVE,0,Y
DAMAC ISLANDS 2 - CUBA,DAMAC PRIME DEVELOPMENT L.L.C,off-plan,Y,Y,403,0,1304409760,Al Yelayiss 1,,ACTIVE,0,Y
Skyvue,,off-plan,,Y,401,0,920748101,Bukadra,,,,
Terra Woods,DWTC EMAAR L.L.C,off-plan,Y,Y,401,0,790736724,Madinat Al Mataar,,ACTIVE,0,Y
DAMAC ISLANDS 2 - BAHAMAS 1,DAMAC PRIME DEVELOPMENT L.L.C,mixed,Y,Y,373,12,1321626550,Al Yelayiss 1,,ACTIVE,0.33,Y
Binghatti Cullinan,,off-plan,,Y,371,0,468707050,SAMA AL JADAF,,,,
WINDSOR HOUSE,,off-plan,,Y,369,0,546702879,Madinat Al Mataar,,,,
DAMAC ISLANDS 2 - TAHITI 2,DAMAC PRIME DEVELOPMENT L.L.C,off-plan,Y,Y,363,0,1242589190,Al Yelayiss 1,,ACTIVE,0,Y
DAMAC ISLANDS 2 - BERMUDA,DAMAC PRIME DEVELOPMENT L.L.C,mixed,Y,Y,363,1,1195922555,Al Yelayiss 1,,ACTIVE,0,Y
WINDSOR HOUSE II,ELLINGTON PROPERTIES DEVELOPMENT L.L.C,off-plan,Y,Y,361,0,558288908,Madinat Al Mataar,,ACTIVE,0,Y
THE MERIVA COLLECTION,CRESTARC DEVELOPERS L.L.C,mixed,Y,Y,353,1,2260877284,Palm Deira,,ACTIVE,0,Y
Breez by Danube,DANUBE PROPERTIES DEVELOPMENT L.L.C,off-plan,Y,Y,337,0,684414095,DUBAI MARITIME CITY,,ACTIVE,0.04,Y
Samana Boulevard Heights,,off-plan,,Y,336,0,309631397,DUBAI LAND RESIDENCE COMPLEX,,,,
LUNAYA,LUNAYA ZAYA REAL ESTATE DEVELOPMENT L.L.C S.O.C,mixed,Y,Y,335,1,3961473775,Saih Shuaib 1,,ACTIVE,0.61,Y
DAMAC ISLANDS 2 - MAUI,DAMAC PRIME DEVELOPMENT L.L.C,off-plan,Y,Y,333,0,1189611360,Al Yelayiss 1,,ACTIVE,0,Y
Serenz by Danube,DANUBE PROPERTIES DEVELOPMENT L.L.C,off-plan,Y,Y,325,0,397339398,JUMEIRAH VILLAGE CIRCLE,,ACTIVE,0,Y
DAMAC ISLANDS 2 - BARBADOS 1,DAMAC PRIME DEVELOPMENT L.L.C,off-plan,Y,Y,305,0,1024876110,Al Yelayiss 1,,ACTIVE,0,Y
Kanyon By Beyond,,off-plan,,Y,285,0,954914755,Madinat Dubai Almelaheyah,,,,
Le Blanc Residence by Imtiaz,IMTIAZ COVE REAL ESTATE DEVELOPMENT L.L.C,off-plan,Y,Y,275,0,288604186,DUBAI LAND RESIDENCE COMPLEX,,ACTIVE,0.42,Y
THE EDIT at d3,DHRE 2 BTS L.L.C,off-plan,Y,Y,271,0,1053335000,Zaabeel Second,,ACTIVE,0,Y
DAMAC ISLANDS 2 - BARBADOS 2,DAMAC PRIME DEVELOPMENT L.L.C,off-plan,Y,Y,262,0,876383025,Al Yelayiss 1,,ACTIVE,0,Y
ELLINGTON SANDS I,,off-plan,,Y,255,0,869523140,Palm Deira,,,,
Vista by Vision,CLEAR VISION REAL ESTATE DEVELOPMENT L.L.C,off-plan,Y,Y,239,0,246100402,DUBAI PRODUCTION CITY,,ACTIVE,3.38,Y
DAMAC ISLANDS 2 - TAHITI 1,DAMAC PRIME DEVELOPMENT L.L.C,off-plan,Y,Y,232,0,820327655,Al Yelayiss 1,,ACTIVE,0,Y
DAMAC RIVERSIDE VIEWS - AZURE 2,,off-plan,,Y,212,0,237772800,Dubai Investment Park Second,,,,
ELLINGTON SANDS II,,off-plan,,Y,208,0,732933084,Palm Deira,,,,
INTERSTELLAR TOWER,BOUJEE REAL ESTATE DEVELOPMENT L.L.C,off-plan,Y,Y,200,0,318739077,JUMEIRAH VILLAGE TRIANGLE,,ACTIVE,0,Y
DISTRIKT,,off-plan,,Y,198,0,461565000,Wadi Al Safa 4,,,,
Binghatti Skyflame 2,Binghatti Developers FZE,off-plan,Y,Y,194,0,125361756,MAJAN,,ACTIVE,0,Y
Cybele By Wadan,,off-plan,,Y,193,0,193594886,DUBAI LAND RESIDENCE COMPLEX,,,,
Taiyo Residences,,off-plan,,Y,191,0,204197067,Jabal Ali First,,,,
South Garden D,,off-plan,,Y,190,0,300010000,Jabal Ali First,,,,
Nourelle,,off-plan,,Y,188,0,801640000,Um Suqaim Third,,,,
AVENEW888-LOOM,AVENEW REAL ESTATE DEVELOPMENT L.L.C,off-plan,Y,Y,188,0,216152960,Madinat Al Mataar,,ACTIVE,0,Y
Samana Barari Heights,,off-plan,,Y,187,0,197104008,MAJAN,,,,
South Garden E,,off-plan,,Y,183,0,269550000,Jabal Ali First,,,,
Terra Gardens,DWTC EMAAR L.L.C,off-plan,Y,Y,182,0,389953996,Madinat Al Mataar,,ACTIVE,0,Y
Marquis One,,off-plan,,Y,181,0,195769298,ARJAN,,,,
HQ by ROVE,,off-plan,,Y,178,0,664865399,BUSINESS BAY,,,,
Palace Residences Hillside A,,off-plan,,Y,178,0,457139758,Hadaeq Sheikh Mohammed Bin Rashid,,,,
Golf Vale,EMAAR DUBAI SOUTH DWC LLC,off-plan,Y,Y,172,0,245061864,Madinat Al Mataar,,ACTIVE,0,Y
SOL LEVANTE,,off-plan,,Y,171,0,229373571,JUMEIRAH VILLAGE TRIANGLE,,,,
VERDE BY VISION,,off-plan,,Y,171,0,216789024,DUBAI SPORTS CITY,,,,
Maybach Ultimate Luxury,Binghatti Developers FZE,off-plan,Y,Y,170,0,340222710,BUSINESS PARK,,ACTIVE,0,Y
City Walk Crestlane 4,CITYWALK RESIDENTIAL 1 L.L.C,off-plan,Y,Y,169,0,709722525,Al Wasl,,ACTIVE,0,Y
Expo Valley Views,,off-plan,,Y,166,0,417952000,Madinat Al Mataar,,,,
IMTIAZ SYMPHONY TOWER,,off-plan,,Y,165,0,438548018,HORIZON,,,,
